model,threshold,recall,precision,f1,f2,accuracy,fp,fn,tp,tn,total_alerts,true_positive_rate,false_positive_rate,specificity
logistic_regression,0.01,1.0,0.037016875340228635,0.07139107611548556,0.16121384542437173,0.1155,1769,0,68,163,1837,1.0,0.9156314699792961,0.08436853002070394
logistic_regression,0.03,1.0,0.04358974358974359,0.08353808353808354,0.185589519650655,0.254,1492,0,68,440,1560,1.0,0.772256728778468,0.2277432712215321
logistic_regression,0.05,1.0,0.04941860465116279,0.09418282548476453,0.20631067961165048,0.346,1308,0,68,624,1376,1.0,0.6770186335403726,0.32298136645962733
logistic_regression,0.07,0.9852941176470589,0.05325914149443561,0.10105580693815988,0.21895424836601307,0.404,1191,1,67,741,1258,0.9852941176470589,0.6164596273291926,0.38354037267080743
logistic_regression,0.09,0.9852941176470589,0.058159722222222224,0.10983606557377049,0.23525280898876405,0.457,1085,1,67,847,1152,0.9852941176470589,0.5615942028985508,0.4384057971014493
logistic_regression,0.11,0.9852941176470589,0.06238361266294227,0.11733800350262696,0.24888558692421991,0.496,1007,1,67,925,1074,0.9852941176470589,0.5212215320910973,0.4787784679089027
logistic_regression,0.13,0.9852941176470589,0.06781376518218624,0.1268939393939394,0.26587301587301587,0.539,921,1,67,1011,988,0.9852941176470589,0.4767080745341615,0.5232919254658385
logistic_regression,0.15,0.9852941176470589,0.07346491228070176,0.13673469387755102,0.2829391891891892,0.577,845,1,67,1087,912,0.9852941176470589,0.43737060041407866,0.5626293995859213
logistic_regression,0.17,0.9852941176470589,0.07827102803738317,0.14502164502164502,0.2969858156028369,0.605,789,1,67,1143,856,0.9852941176470589,0.4083850931677019,0.5916149068322981
logistic_regression,0.19,0.9852941176470589,0.08364544319600499,0.15420023014959724,0.31220876048462254,0.6325,734,1,67,1198,801,0.9852941176470589,0.37991718426501037,0.6200828157349897
logistic_regression,0.21,0.9705882352941176,0.08672798948751642,0.15922798552472858,0.3194578896418199,0.6515,695,2,66,1237,761,0.9705882352941176,0.35973084886128365,0.6402691511387164
logistic_regression,0.23,0.9705882352941176,0.09269662921348315,0.16923076923076927,0.3353658536585366,0.676,646,2,66,1286,712,0.9705882352941176,0.33436853002070394,0.6656314699792961
logistic_regression,0.25,0.9558823529411765,0.09658246656760773,0.17543859649122806,0.3439153439153439,0.6945,608,3,65,1324,673,0.9558823529411765,0.3146997929606625,0.6853002070393375
logistic_regression,0.27,0.9411764705882353,0.10047095761381476,0.18156028368794327,0.35203520352035206,0.7115,573,4,64,1359,637,0.9411764705882353,0.296583850931677,0.703416149068323
