model,threshold,recall,precision,f1,f2,accuracy,fp,fn,tp,tn,total_alerts,true_positive_rate,false_positive_rate,specificity
random_forest,0.01,0.9558823529411765,0.1906158357771261,0.31784841075794623,0.5301794453507341,0.8605,276,3,65,1656,341,0.9558823529411765,0.14285714285714285,0.8571428571428571
random_forest,0.03,0.9264705882352942,0.30434782608695654,0.45818181818181825,0.6576200417536534,0.9255,144,5,63,1788,207,0.9264705882352942,0.07453416149068323,0.9254658385093167
random_forest,0.05,0.9264705882352942,0.36,0.5185185185185185,0.7046979865771812,0.9415,112,5,63,1820,175,0.9264705882352942,0.057971014492753624,0.9420289855072463
random_forest,0.07,0.9264705882352942,0.41721854304635764,0.5753424657534247,0.7446808510638298,0.9535,88,5,63,1844,151,0.9264705882352942,0.045548654244306416,0.9544513457556936
random_forest,0.09,0.9117647058823529,0.44285714285714284,0.596153846153846,0.7524271844660194,0.958,78,6,62,1854,140,0.9117647058823529,0.040372670807453416,0.9596273291925466
random_forest,0.11,0.8823529411764706,0.5042016806722689,0.6417112299465241,0.7672634271099744,0.9665,59,8,60,1873,119,0.8823529411764706,0.030538302277432712,0.9694616977225673
random_forest,0.13,0.8529411764705882,0.5742574257425742,0.6863905325443787,0.7774798927613941,0.9735,43,10,58,1889,101,0.8529411764705882,0.022256728778467908,0.977743271221532
random_forest,0.15,0.8529411764705882,0.6304347826086957,0.725,0.7967032967032966,0.978,34,10,58,1898,92,0.8529411764705882,0.017598343685300208,0.9824016563146998
random_forest,0.17,0.8529411764705882,0.6823529411764706,0.758169934640523,0.8123249299719888,0.9815,27,10,58,1905,85,0.8529411764705882,0.013975155279503106,0.9860248447204969
random_forest,0.19,0.8382352941176471,0.7402597402597403,0.7862068965517242,0.8166189111747851,0.9845,20,11,57,1912,77,0.8382352941176471,0.010351966873706004,0.989648033126294
random_forest,0.21,0.8235294117647058,0.7887323943661971,0.8057553956834531,0.8163265306122449,0.9865,15,12,56,1917,71,0.8235294117647058,0.007763975155279503,0.9922360248447205
random_forest,0.23,0.8235294117647058,0.8,0.8115942028985507,0.8187134502923976,0.987,14,12,56,1918,70,0.8235294117647058,0.007246376811594203,0.9927536231884058
random_forest,0.25,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.988,12,12,56,1920,68,0.8235294117647058,0.006211180124223602,0.9937888198757764
random_forest,0.27,0.8235294117647058,0.835820895522388,0.8296296296296296,0.8259587020648967,0.9885,11,12,56,1921,67,0.8235294117647058,0.005693581780538302,0.9943064182194618
random_forest,0.29,0.8235294117647058,0.835820895522388,0.8296296296296296,0.8259587020648967,0.9885,11,12,56,1921,67,0.8235294117647058,0.005693581780538302,0.9943064182194618
random_forest,0.31,0.8235294117647058,0.8615384615384616,0.8421052631578948,0.8308605341246291,0.9895,9,12,56,1923,65,0.8235294117647058,0.004658385093167702,0.9953416149068323
random_forest,0.33,0.8235294117647058,0.8615384615384616,0.8421052631578948,0.8308605341246291,0.9895,9,12,56,1923,65,0.8235294117647058,0.004658385093167702,0.9953416149068323
random_forest,0.35,0.8088235294117647,0.8870967741935484,0.8461538461538463,0.8233532934131736,0.99,7,13,55,1925,62,0.8088235294117647,0.0036231884057971015,0.9963768115942029
